user,date,amount,merchant
ogrenci1@uni.edu,2025-09-09,223.97,kafe
ogrenci1@uni.edu,2025-09-10,88.78,market
ogrenci1@uni.edu,2025-09-11,176.39,kirtasiye
ogrenci1@uni.edu,2025-09-12,43.54,ulasim
ogrenci1@uni.edu,2025-09-13,260.23,kafe
ogrenci1@uni.edu,2025-09-14,167.11,kafe
ogrenci1@uni.edu,2025-09-15,48.35,kafe
ogrenci1@uni.edu,2025-09-16,284.23,giyim
ogrenci1@uni.edu,2025-09-17,190.52,giyim
ogrenci1@uni.edu,2025-09-18,207.49,giyim
ogrenci1@uni.edu,2025-09-19,282.37,kafe
ogrenci1@uni.edu,2025-09-21,101.72,kafe
ogrenci1@uni.edu,2025-09-22,119.9,Netflix
ogrenci1@uni.edu,2025-09-22,59.9,Spotify
ogrenci1@uni.edu,2025-09-23,115.37,market
ogrenci1@uni.edu,2025-09-24,197.71,giyim
ogrenci1@uni.edu,2025-09-26,87.55,kitap
ogrenci1@uni.edu,2025-09-27,124.23,market
ogrenci1@uni.edu,2025-09-29,72.59,giyim
ogrenci1@uni.edu,2025-10-01,296.55,kirtasiye
ogrenci1@uni.edu,2025-10-02,210.32,giyim
ogrenci1@uni.edu,2025-10-03,209.11,kafe
ogrenci1@uni.edu,2025-10-04,270.22,kirtasiye
ogrenci1@uni.edu,2025-10-05,103.53,giyim
ogrenci1@uni.edu,2025-10-06,122.58,kirtasiye
ogrenci1@uni.edu,2025-10-07,101.28,ulasim
ogrenci1@uni.edu,2025-10-08,275.2,market
ogrenci1@uni.edu,2025-10-09,144.37,kitap
ogrenci1@uni.edu,2025-10-10,120.06,kafe
ogrenci1@uni.edu,2025-10-11,100.73,kirtasiye
ogrenci1@uni.edu,2025-10-12,220.53,giyim
ogrenci1@uni.edu,2025-10-13,50.32,kirtasiye
ogrenci1@uni.edu,2025-10-15,255.34,giyim
ogrenci1@uni.edu,2025-10-16,146.04,market
ogrenci1@uni.edu,2025-10-17,272.73,market
ogrenci1@uni.edu,2025-10-19,97.37,market
ogrenci1@uni.edu,2025-10-20,181.17,ulasim
ogrenci1@uni.edu,2025-10-12,1500.0,elektronik
ogrenci1@uni.edu,2025-10-13,1750.0,elektronik
ogrenci1@uni.edu,2025-10-14,2000.0,elektronik
